filename,column
city_transition_process_decomposition_2018_2022.csv,mechanism_group
city_transition_process_decomposition_2018_2022.csv,mean_gini_2018_2022
city_transition_process_decomposition_2018_2022.csv,persistent_among_ever_from_dashboard
community_transition_process_2018_2022.csv,城市
community_transition_process_2018_2022.csv,community_id
community_transition_process_2018_2022.csv,first_exposure_year
community_transition_process_2018_2022.csv,available_years_after_first
community_transition_process_2018_2022.csv,bottom_years_total
community_transition_process_2018_2022.csv,longest_bottom_streak
community_transition_process_2018_2022.csv,persistent_bottom_3plus
community_transition_process_2018_2022.csv,immediate_repeat_after_first
community_transition_process_2018_2022.csv,any_repeat_after_first
community_transition_process_2018_2022.csv,reentry_after_gap
community_transition_process_2018_2022.csv,eligible_one_step
community_transition_process_2018_2022.csv,path_one_shot
community_transition_process_2018_2022.csv,path_short_repeat_nonpersistent
community_transition_process_2018_2022.csv,path_continuous_persistent
community_transition_process_2018_2022.csv,path_fragmented_persistent
component_attribution_board_2026-04-23.csv,layer
component_attribution_board_2026-04-23.csv,signal
component_attribution_board_2026-04-23.csv,sidecar_metric
component_attribution_board_2026-04-23.csv,exposure_score
component_attribution_board_2026-04-23.csv,hardening_score
component_attribution_board_2026-04-23.csv,phase_or_residual_score
component_attribution_board_2026-04-23.csv,exposure_strength
component_attribution_board_2026-04-23.csv,hardening_strength
component_attribution_board_2026-04-23.csv,phase_or_residual_strength
component_attribution_board_2026-04-23.csv,primary_component
component_attribution_board_2026-04-23.csv,formula_role
component_attribution_board_2026-04-23.csv,evidence_type
component_attribution_board_2026-04-23.csv,reading
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,department
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,balanced_communes
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,ever_full_share
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,exposure_share_observable
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,lambda_immediate_escape
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,non_escape_share
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,delta_deepen_given_immediate_repeat
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,persistent_share_3plus
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,minimal_law_prediction
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,exposure_only_prediction
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,persistent_count
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,observable_exposed_count
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,immediate_repeat_count
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,persistent_among_immediate_repeat_count
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,median_commune_price_per_m2
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,total_transactions
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,minimal_abs_error
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,exposure_only_abs_error
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,minimal_beats_exposure_only
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,model
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,n_departments
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,pearson
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,spearman
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,mean_abs_error
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,median_abs_error
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,win_share_vs_other
transaction_validation_audit_board_2026-04-23.csv,audit_domain
transaction_validation_audit_board_2026-04-23.csv,test
transaction_validation_audit_board_2026-04-23.csv,value
transaction_validation_audit_board_2026-04-23.csv,status
transaction_validation_audit_board_2026-04-23.csv,interpretation
transaction_validation_audit_city_detail_2026-04-23.csv,city
transaction_validation_audit_city_detail_2026-04-23.csv,community_rows
transaction_validation_audit_city_detail_2026-04-23.csv,strict_match_rows
transaction_validation_audit_city_detail_2026-04-23.csv,fallback_match_rows
transaction_validation_audit_city_detail_2026-04-23.csv,unmatched_rows
transaction_validation_audit_city_detail_2026-04-23.csv,strict_match_share
transaction_validation_audit_city_detail_2026-04-23.csv,fallback_match_share
transaction_validation_audit_city_detail_2026-04-23.csv,match_rate_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,never_minus_persistent_rank_gap
transaction_validation_audit_city_detail_2026-04-23.csv,persistent_n
transaction_validation_audit_city_detail_2026-04-23.csv,persistent_matched_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,persistent_coverage_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,persistent_strict_share_among_matched
transaction_validation_audit_city_detail_2026-04-23.csv,persistent_median_tx_price
transaction_validation_audit_city_detail_2026-04-23.csv,transient_n
transaction_validation_audit_city_detail_2026-04-23.csv,transient_matched_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,transient_coverage_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,transient_strict_share_among_matched
transaction_validation_audit_city_detail_2026-04-23.csv,transient_median_tx_price
transaction_validation_audit_city_detail_2026-04-23.csv,never_n
transaction_validation_audit_city_detail_2026-04-23.csv,never_matched_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,never_coverage_2018_2022
transaction_validation_audit_city_detail_2026-04-23.csv,never_strict_share_among_matched
transaction_validation_audit_city_detail_2026-04-23.csv,never_median_tx_price
transaction_validation_audit_city_detail_2026-04-23.csv,coverage_bias_persistent_minus_never
transaction_validation_audit_pair_detail_2026-04-23.csv,pair_id
transaction_validation_audit_pair_detail_2026-04-23.csv,city
transaction_validation_audit_pair_detail_2026-04-23.csv,match_type
transaction_validation_audit_pair_detail_2026-04-23.csv,status
transaction_validation_audit_pair_detail_2026-04-23.csv,ready
transaction_validation_audit_pair_detail_2026-04-23.csv,strict_ready
transaction_validation_audit_pair_detail_2026-04-23.csv,persistent_match_tier
transaction_validation_audit_pair_detail_2026-04-23.csv,control_match_tier
transaction_validation_audit_pair_detail_2026-04-23.csv,persistent_price
transaction_validation_audit_pair_detail_2026-04-23.csv,control_price
transaction_validation_audit_pair_detail_2026-04-23.csv,external_gap
transaction_validation_audit_pair_detail_2026-04-23.csv,persistent_lower_than_control
transaction_validation_audit_pair_detail_2026-04-23.csv,persistent_has_url
transaction_validation_audit_pair_detail_2026-04-23.csv,control_has_url
uk_all_available12_holdout_split_table_2026-04-23.csv,split_id
uk_all_available12_holdout_split_table_2026-04-23.csv,holdout_cities
uk_all_available12_holdout_split_table_2026-04-23.csv,model
uk_all_available12_holdout_split_table_2026-04-23.csv,discovery_n
uk_all_available12_holdout_split_table_2026-04-23.csv,holdout_n
uk_all_available12_holdout_split_table_2026-04-23.csv,discovery_mae
uk_all_available12_holdout_split_table_2026-04-23.csv,holdout_mae
uk_all_available12_holdout_split_table_2026-04-23.csv,discovery_corr
uk_all_available12_holdout_split_table_2026-04-23.csv,holdout_corr
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,model
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,n_cities
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,holdout_size
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,n_splits
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,mean_discovery_mae
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,mean_holdout_mae
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,discovery_win_share
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,holdout_win_share
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,both_win_share
uk_top10_holdout_transfer_summary_2026-04-23.csv,model
uk_top10_holdout_transfer_summary_2026-04-23.csv,n_cities
uk_top10_holdout_transfer_summary_2026-04-23.csv,holdout_size
uk_top10_holdout_transfer_summary_2026-04-23.csv,n_splits
uk_top10_holdout_transfer_summary_2026-04-23.csv,mean_discovery_mae
uk_top10_holdout_transfer_summary_2026-04-23.csv,mean_holdout_mae
uk_top10_holdout_transfer_summary_2026-04-23.csv,discovery_win_share
uk_top10_holdout_transfer_summary_2026-04-23.csv,holdout_win_share
uk_top10_holdout_transfer_summary_2026-04-23.csv,both_win_share
universal_pathway_law_city_table_2026-04-20.csv,所属省份
universal_pathway_law_city_table_2026-04-20.csv,城市
universal_pathway_law_city_table_2026-04-20.csv,mechanism_group
universal_pathway_law_city_table_2026-04-20.csv,mean_gini_2018_2022
