所属省份,城市,city_role_quadrant,mean_gini_2018_2022,n_communities_full_window,persistent_bottom_3plus_share_full_window,ever_bottom_share_full_window,persistent_bottom_3plus_count_full_window,ever_bottom_count_full_window,share_first_2021plus,overall_conversion,early_exposure_conversion_2020,immediate_repeat_rate,any_repeat_after_first_rate,immediate_escape_share,immediate_repeat_share,deepening_given_repeat,continuous_given_repeat,fragmented_given_repeat,relapse_given_escape,mean_longest_bottom_streak,mean_retention_rate,mean_retention_excess_over_independence,mechanism_group_broad20,pred_exposure_only,pred_minimal_law,pred_timing_extension,hardening_kernel_minimal,observed_hardening,minimal_gap,timing_gap
上海市,上海,high_inequality_high_persistence,0.2323939734330674,3292.0,0.0735115431348724,0.106318347509113,242.0,350.0,0.0542857142857142,0.6914285714285714,0.7311178247734139,0.7602339181286549,0.8070175438596491,0.239766081871345,0.7602339181286549,0.9153846153846154,0.9115384615384616,0.0038461538461538,0.1951219512195122,3.5085714285714285,0.8962121212121212,0.795969107846386,HIHP,0.106318347509113,0.07398762195078624,0.06997115104488642,0.695906432748538,0.6914285714285714,-0.00047607881591384127,0.0035403920899859803
北京市,北京,high_inequality_high_persistence,0.2518041069396092,4426.0,0.0571622232263895,0.0908269317668323,253.0,402.0,0.072139303482587,0.6293532338308457,0.67828418230563,0.7157894736842105,0.7973684210526316,0.2842105263157894,0.7157894736842105,0.8933823529411765,0.8198529411764706,0.0735294117647058,0.287037037037037,3.181592039800995,0.8679458239277653,0.7678554488712808,HIHP,0.0908269317668323,0.05808143268247435,0.053891478583489874,0.6394736842105263,0.6293532338308457,-0.0009192094560848477,0.0032707446428996284
天津市,天津,high_inequality_high_persistence,0.3399080851860659,2635.0,0.0561669829222011,0.0986717267552182,148.0,260.0,0.1692307692307692,0.5692307692307692,0.6851851851851852,0.645021645021645,0.7965367965367965,0.354978354978355,0.645021645021645,0.8657718120805369,0.7986577181208053,0.0671140939597315,0.4268292682926829,2.9461538461538463,0.8607954545454546,0.7606057012247714,HIHP,0.0986717267552182,0.05510239286330367,0.04577737253259074,0.5584415584415584,0.5692307692307692,0.0010645900588974258,0.010389610389610358
江苏省,南京,high_inequality_high_persistence,0.2308650611988101,497.0,0.0503018108651911,0.1327967806841046,25.0,66.0,0.1363636363636363,0.3787878787878788,0.4385964912280701,0.5,0.5344827586206896,0.5,0.5,0.8620689655172413,0.7931034482758621,0.0689655172413793,0.0689655172413793,2.4393939393939394,0.825,0.7243963782696177,HIHP,0.1327967806841046,0.05723999167418302,0.04943453826406716,0.43103448275862066,0.3787878787878788,-0.006938180808991917,0.0008672726011239446
辽宁省,沈阳,high_inequality_high_persistence,0.19814809351285,652.0,0.0352760736196319,0.1211656441717791,23.0,79.0,0.2025316455696202,0.2911392405063291,0.365079365079365,0.3428571428571428,0.5142857142857142,0.6571428571428571,0.3428571428571428,0.8333333333333334,0.4583333333333333,0.375,0.2608695652173913,1.5949367088607596,0.6553030303030303,0.5540760364379996,HIHP,0.1211656441717791,0.03461875547765117,0.027607361963190177,0.28571428571428575,0.2911392405063291,0.0006573181419807297,0.007668711656441722
江苏省,无锡,high_inequality_high_persistence,0.2137806792184617,312.0,0.0288461538461538,0.1089743589743589,9.0,34.0,0.0294117647058823,0.2647058823529412,0.2727272727272727,0.4545454545454545,0.5151515151515151,0.5454545454545454,0.4545454545454545,0.5333333333333333,0.4666666666666667,0.0666666666666666,0.1111111111111111,1.8823529411764703,0.6640625,0.5614983974358975,HIHP,0.1089743589743589,0.026418026418026402,0.02564102564102563,0.24242424242424243,0.2647058823529412,0.002428127428127397,0.0032051282051281695
辽宁省,丹东,high_inequality_low_persistence,0.1720701398793902,57.0,0.0175438596491228,0.2280701754385964,1.0,13.0,0.2307692307692307,0.0769230769230769,0.1,0.1666666666666666,0.3333333333333333,0.8333333333333334,0.1666666666666666,0.5,0.5,0.0,0.2,1.2307692307692308,0.375,0.2697368421052631,HILP,0.2280701754385964,0.019005847953216363,0.014619883040935663,0.08333333333333331,0.0769230769230769,-0.0014619883040935637,0.002923976608187136
江苏省,常州,high_inequality_low_persistence,0.1999787440401368,69.0,0.0144927536231884,0.0869565217391304,1.0,6.0,0.1666666666666666,0.1666666666666666,0.2,0.2,0.2,0.8,0.2,1.0,1.0,0.0,0.0,1.3333333333333333,0.5357142857142857,0.4342650103519668,HILP,0.0869565217391304,0.017391304347826077,0.014492753623188397,0.19999999999999996,0.1666666666666666,-0.002898550724637676,3.469446951953614e-18
辽宁省,大连,high_inequality_low_persistence,0.2520720259822621,1318.0,0.011380880121396,0.1084977238239757,15.0,143.0,0.0139860139860139,0.1048951048951049,0.1063829787234042,0.2887323943661972,0.3169014084507042,0.7112676056338029,0.2887323943661972,0.3658536585365853,0.1219512195121951,0.2439024390243902,0.0396039603960396,1.3776223776223775,0.8087121212121211,0.7085603761438359,HILP,0.1084977238239757,0.011461027164504471,0.011300733078287627,0.10563380281690136,0.1048951048951049,-8.014704310847082e-05,8.014704310837367e-05
江苏省,徐州,high_inequality_low_persistence,0.1911870288121159,317.0,0.0094637223974763,0.1198738170347003,3.0,38.0,0.3947368421052631,0.0789473684210526,0.1304347826086956,0.2,0.32,0.8,0.2,0.6,0.4,0.2,0.15,1.263157894736842,0.546875,0.4459286277602523,HILP,0.1198738170347003,0.014384858044164032,0.008706624605678231,0.11999999999999997,0.0789473684210526,-0.004921135646687733,0.0007570977917980681
