cutoff_q,predictor,predictor_label,n_windows,pearson,spearman,mae,rmse,mean_signed_error,mae_ci_low,mae_ci_high,pearson_ci_low,pearson_ci_high,mae_reduction_vs_exposure_only,relative_mae_reduction_vs_exposure_only
0.1,last_state_markov,Last-state Markov,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240378,0.00951653351704005,0.015978130940090936,0.3589516022372,0.7732111151446188,0.08116907162467017,0.8682384746081221
0.1,markov_pair,Markov-pair null,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240378,0.00951653351704005,0.015978130940090936,0.3589516022372,0.7732111151446188,0.08116907162467017,0.8682384746081221
0.1,pathway_active,Early pathway,58,0.5536486194770597,0.5480020917284445,0.014631627521206926,0.020784751888561156,0.010214665436156935,0.011408322507852786,0.020167051489817785,0.3274666785732341,0.7479388085727666,0.0788554431379293,0.8434903626988657
0.1,pathway_all3,Strict early pathway,58,0.32390736856239566,0.39721307945492024,0.022815860672135427,0.03117462354015323,-0.01872203988175559,0.018092891678017597,0.027862922071488376,-0.04777266218109082,0.6712598300199203,0.07067120998700081,0.7559463516048709
0.1,independence,Independence null,58,0.24230193591567664,-0.15963814547697155,0.06160048601623079,0.06490903216973652,-0.06125565843002389,0.05297103884676508,0.06689386083689841,-0.22089130141307664,0.5392918440398593,0.03188658464290545,0.3410801559840003
0.1,exposure_only,Exposure only,58,-0.46148018510462646,-0.5227248258766155,0.09348707065913624,0.10529622143251693,0.09348707065913624,0.07772041083811672,0.11704502796381368,-0.7306521712405032,-0.12846712980066755,0.0,0.0
0.2,last_state_markov,Last-state Markov,58,0.49093533272974593,0.5529663303996837,0.019504204316242304,0.027231834760369448,-0.006204827995675059,0.014468815531037169,0.02674285564112158,0.15738783673219656,0.7107748632812122,0.11591664679506272,0.8559734032375013
0.2,markov_pair,Markov-pair null,58,0.4893682118596067,0.5529663303996837,0.01954110220389981,0.027250641598176674,-0.006167930108017552,0.014495794784711157,0.026794826486716296,0.15591744534202406,0.7091990153337893,0.11587974890740521,0.8557009349480561
0.2,pathway_active,Early pathway,58,0.5276944642506521,0.5316167541383551,0.02320320160893483,0.029571958966780835,0.018181227365785656,0.01906632074683931,0.030456581156412504,0.2598622897023777,0.720655586301908,0.1122176495023702,0.8286585749644738
0.2,pathway_all3,Strict early pathway,58,0.4085707757085898,0.49118651460363466,0.03660496542701388,0.04840025131651854,-0.030635383054974877,0.02707886944559269,0.048759611768729096,0.05220149536998818,0.6447195416602645,0.09881588568429114,0.7296947617252268
0.2,independence,Independence null,58,-0.11227183524257199,-0.2371249226446907,0.1145424667243729,0.1177773857718578,-0.1145424667243729,0.10215858873529125,0.1223472249133545,-0.43035060788893864,0.22930009650511102,0.020878384386932125,0.15417407449146642
0.2,exposure_only,Exposure only,58,-0.5043794143685443,-0.5649331678141747,0.13542085111130503,0.14984798057558701,0.13542085111130503,0.11205019314020732,0.16712762833266015,-0.7224026267319231,-0.17788657110945322,0.0,0.0
