model,n_departments,pearson,spearman,mean_abs_error,median_abs_error,win_share_vs_other
minimal_law,93,0.8327389048588939,0.8651999731429466,0.03899044417145768,0.038888888888888876,1.0
exposure_only,93,-0.8136973222234619,-0.8397752959871086,0.2336513072068565,0.2330827067669173,0.0
