test,cutoff_q,left_out_city,n_rows,n_cities,pathway_mae,pathway_rmse,pathway_pearson,pathway_spearman,pathway_mean_signed_error,strict_pathway_mae,strict_pathway_rmse,strict_pathway_pearson,strict_pathway_spearman,strict_pathway_mean_signed_error,exposure_only_mae,exposure_only_rmse,exposure_only_pearson,exposure_only_spearman,exposure_only_mean_signed_error,independence_mae,independence_rmse,independence_pearson,independence_spearman,independence_mean_signed_error,markov_pair_mae,markov_pair_rmse,markov_pair_pearson,markov_pair_spearman,markov_pair_mean_signed_error,pathway_minus_exposure_mae,pathway_minus_markov_mae,pathway_beats_exposure_only,markov_beats_pathway
single_split_2018_2020_to_2021_2022,0.1,__FULL_SAMPLE__,20,20,0.02128245500094165,0.028117186438562775,0.6807503267650604,0.8330827067669173,0.02128245500094165,0.01625317651380062,0.025772880854530743,0.5221492798223674,0.6571428571428571,-0.00608235959270933,0.11142178516151749,0.1276104261116529,-0.6813523578003359,-0.7423844075210329,0.11142178516151749,0.05008193584781606,0.0550953530773705,-0.15387952515228934,-0.11583302812384912,-0.049081935847816054,0.009242836172748082,0.017521399127904937,0.7444499009119709,0.7744360902255639,0.005473272474358336,-0.09013933016057585,0.012039618828193566,True,True
single_split_2018_2020_to_2021_2022,0.1,上海,19,19,0.022144024739072853,0.028825600401043795,0.6585879719466973,0.8070175438596491,0.022144024739072853,0.01676770989204868,0.026400633638258984,0.48114353020679346,0.6157894736842106,-0.006061586817215741,0.11587917015786775,0.13078182827805224,-0.6523803120044013,-0.6994296417073295,0.11587917015786775,0.04845038771233135,0.05337837785596193,-0.11670340693624202,-0.05089952223215195,-0.047397756133383984,0.009657356488036926,0.017973840633405593,0.7191149123163076,0.736842105263158,0.005833284193127726,-0.0937351454187949,0.012486668251035928,True,True
single_split_2018_2020_to_2021_2022,0.1,丹东,19,19,0.020740534350021687,0.027923102628393825,0.6111922933891955,0.819298245614035,0.020740534350021687,0.01673926244296649,0.026393362232730776,0.475721504850611,0.6298245614035087,-0.006771828195465036,0.10528239619956595,0.12001587880104611,-0.6226447846967915,-0.7187363570367664,0.10528239619956595,0.052377641564061606,0.056507186981196944,-0.07738063802197628,-0.04475647644551292,-0.05132500998511424,0.008805940200307307,0.01752021619759486,0.700700659619566,0.7543859649122807,0.004837978412528626,-0.08454186184954426,0.01193459414971438,True,True
single_split_2018_2020_to_2021_2022,0.1,保定,19,19,0.018016619299236827,0.021602971311194465,0.8398424676885626,0.8842105263157896,0.018016619299236827,0.012722641944351534,0.01826757741319203,0.8238633832919264,0.8228070175438595,-0.010788448694079996,0.1085141598191412,0.12521783950383905,-0.8301277140667308,-0.7959632183545141,0.1085141598191412,0.05219151141875375,0.056480065702959756,-0.2975325361314535,-0.2982456140350877,-0.05219151141875375,0.006220529304647109,0.009446648259797933,0.9039102612988764,0.8526315789473684,0.002252567516868427,-0.09049754051990437,0.011796089994589719,True,True
single_split_2018_2020_to_2021_2022,0.1,北京,19,19,0.022009710304804093,0.028796749769214116,0.6645546927252568,0.8087719298245614,0.022009710304804093,0.016817024058408448,0.026411854734837818,0.4918101428401405,0.6649122807017543,-0.00611090098357551,0.11543102269481208,0.13067559619068247,-0.6589573181911029,-0.7310224486100445,0.11543102269481208,0.04869066755533926,0.053731915070823894,-0.11926398953261604,-0.061430457866390294,-0.0476380359763919,0.009711464052270793,0.017976408063431502,0.7259557051383344,0.763157894736842,0.005743502264492111,-0.09342131239000798,0.0122982462525333,True,True
single_split_2018_2020_to_2021_2022,0.1,南京,19,19,0.02193561280582212,0.028775723482037375,0.6702626031362445,0.8087719298245614,0.02193561280582212,0.016993499737947587,0.026437657181446493,0.4939971574032239,0.6473684210526316,-0.006517590900483944,0.11463862591395568,0.13041596303480868,-0.6668582921429146,-0.7310224486100445,0.11463862591395568,0.048908675570667234,0.054033118473254586,-0.1317026806064896,-0.09477842070814503,-0.047856043991719874,0.009729301234471665,0.017976576203474166,0.7319882870024841,0.763157894736842,0.005761339446692984,-0.09270301310813356,0.012206311571350456,True,True
single_split_2018_2020_to_2021_2022,0.1,吉林,19,19,0.021871691763004943,0.028754657995702485,0.6874889836703039,0.83859649122807,0.021871691763004943,0.016321421501941154,0.02621884638385512,0.5010787580794097,0.6298245614035087,-0.0056152984271082155,0.10816328262615875,0.12474056711589523,-0.6685376529262309,-0.7228070175438598,0.10816328262615875,0.051138879839806375,0.05610608308064961,-0.1896223538855685,-0.23157894736842102,-0.05008624826085901,0.009729301234471665,0.017976576203474166,0.7367566040754364,0.7578947368421053,0.005761339446692984,-0.0862915908631538,0.012142390528533277,True,True
single_split_2018_2020_to_2021_2022,0.1,呼和浩特,19,19,0.02191972568906461,0.028770741227752195,0.6696351558363304,0.8087719298245614,0.02191972568906461,0.016713540792807118,0.026386284199739377,0.5023991474623969,0.6561403508771929,-0.0060074177179741785,0.11535465555389092,0.13065457251424584,-0.6630153438438874,-0.7362879164271636,0.11535465555389092,0.04890811776502089,0.0540323712686562,-0.13620609786765278,-0.09477842070814503,-0.04785548618607352,0.009487871973245203,0.017945746524565726,0.7302500184904162,0.7666666666666666,0.005519910185466522,-0.09343492986482631,0.012431853715819405,True,True
single_split_2018_2020_to_2021_2022,0.1,哈尔滨,19,19,0.020631544786423213,0.027795510666943194,0.6577516689487832,0.8350877192982457,0.020631544786423213,0.0171048691723021,0.02644241280849681,0.4966771191316716,0.6333333333333333,-0.006398746097469163,0.10802410787363498,0.12454554915463874,-0.6661038669462153,-0.7310224486100445,0.10802410787363498,0.05163286862719884,0.05632846005685744,-0.19613049223849863,-0.17463801593445238,-0.05058023704825147,0.009067731108038267,0.017743772608656835,0.7244068206684571,0.7596491228070175,0.005099769320259584,-0.08739256308721177,0.011563813678384946,True,True
single_split_2018_2020_to_2021_2022,0.1,唐山,19,19,0.021466911696897642,0.02855785824353773,0.680969799526578,0.8456140350877193,0.021466911696897642,0.016172934342012345,0.026125988642205833,0.5204478267046647,0.6368421052631579,-0.00546681126717941,0.10886503701212366,0.12567468803641463,-0.6875853128033106,-0.736842105263158,0.10886503701212366,0.0505096400737245,0.055701124420488024,-0.14329023039289746,-0.1017990444643039,-0.04945700849477713,0.009729301234471665,0.017976576203474166,0.7453812474596855,0.7649122807017543,0.005761339446692984,-0.08739812531522602,0.011737610462425977,True,True
