城市,community_id,first_exposure_year,available_years_after_first,bottom_years_total,longest_bottom_streak,persistent_bottom_3plus,immediate_repeat_after_first,any_repeat_after_first,reentry_after_gap,eligible_one_step,path_one_shot,path_short_repeat_nonpersistent,path_continuous_persistent,path_fragmented_persistent
北京,北京||门头沟||城子||三家店东街8号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||三家店四局,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||三家店新建路,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||三家店老宿舍17号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||三家店西宁路,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||剧场东街,2018,4,3,2,True,True,True,True,True,False,False,False,True
北京,北京||门头沟||城子||向东楼小区,2021,1,2,2,False,True,True,False,True,False,True,False,False
北京,北京||门头沟||城子||和平路33号院,2018,4,4,4,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||城子||城子二斜井,2018,4,4,3,True,True,True,True,True,False,False,True,False
北京,北京||门头沟||城子||城子大街132号院,2018,4,2,2,False,True,True,False,True,False,True,False,False
北京,北京||门头沟||城子||新桥大街52号院,2019,3,2,1,False,False,True,True,True,False,True,False,False
北京,北京||门头沟||城子||桥东街小区,2019,3,2,1,False,False,True,True,True,False,True,False,False
北京,北京||门头沟||城子||矿桥东街,2018,4,3,2,True,False,True,True,True,False,False,False,True
北京,北京||门头沟||城子||阁外山水,2019,3,2,2,False,True,True,False,True,False,True,False,False
北京,北京||门头沟||大峪||坡头南街,2018,4,2,2,False,True,True,False,True,False,True,False,False
北京,北京||门头沟||大峪||增产路,2018,4,3,2,True,False,True,True,True,False,False,False,True
北京,北京||门头沟||大峪||峪园小区,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||门头沟||大峪||新桥大街39号院,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||大峪||新桥家园,2018,4,3,3,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||大峪||新桥路小区,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||门头沟||大峪||桃园小区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||大峪||永新小区,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||大峪||西山艺境8号院,2020,2,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||大峪||西山艺境华墅,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||大峪||黑山北小街4号院,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||滨河西区||倚山嘉园,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||滨河西区||德露苑,2018,4,3,2,True,True,True,True,True,False,False,False,True
北京,北京||门头沟||滨河西区||新桥南大街,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||门头沟||滨河西区||月季园1号院,2019,3,2,1,False,False,True,True,True,False,True,False,False
北京,北京||门头沟||滨河西区||熙旺中心,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||滨河西区||葡东南区,2018,4,3,1,True,False,True,True,True,False,False,False,True
北京,北京||门头沟||滨河西区||门头沟月季园,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||门头沟||门头沟其它||三家店北街4号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||东方小区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||中门寺39号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||中门寺街67号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||军庄杨坨小区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||南街铁路小区,2018,4,4,3,True,False,True,True,True,False,False,True,False
北京,北京||门头沟||门头沟其它||坡头西街,2018,4,5,5,True,True,True,False,True,False,False,True,False
