country,frame_type,cohort_type,n_frames,pearson_pathway,spearman_pathway,mae_pathway,rmse_pathway,mae_exposure_only,rmse_exposure_only,mae_reduction_vs_exposure_only,relative_mae_reduction
UK,bua,available,36,0.5250132063049636,0.4990024507025355,0.0461433389356506,0.06075939224131224,0.17900833548021372,0.21453589473865026,0.13286499654456313,0.742227987250622
UK,lad,available,143,0.6495016003605809,0.6711812224335727,0.034692842030868726,0.047881969833057494,0.14934821082809857,0.1901469707116584,0.11465536879722985,0.76770500404052
UK,ttwa,available,115,0.7086775439326877,0.6332130700019334,0.026039024453020768,0.040904275190379036,0.10281107674273156,0.14758367367174557,0.07677205228971079,0.7467293867743521
UK,bua,balanced,34,0.6885880260188416,0.691758504406001,0.042492600512637,0.054943060971369556,0.16372789425851003,0.19337615634566424,0.12123529374587302,0.7404681669847569
UK,lad,balanced,133,0.7043541944318265,0.7243364577143531,0.033809683012682556,0.04584820064256743,0.1488875066509024,0.18706333800420163,0.11507782363821983,0.7729179313079884
UK,ttwa,balanced,107,0.670885392557231,0.5996826774058913,0.027116040533087655,0.04253071665046818,0.09684211294183485,0.13856309852202148,0.0697260724087472,0.7199974297403647
