cutoff_q,permutation_id,null_type,mae,pearson,observed_pathway_active_mae,observed_mae_percentile_in_null
0.1,1,sequence_permutation_preserve_city_year_counts,0.04510225645824774,-0.5614671544541742,0.021282455000941652,0.0
0.1,2,sequence_permutation_preserve_city_year_counts,0.04417939170000168,-0.42696881119308133,0.021282455000941652,0.0
0.1,3,sequence_permutation_preserve_city_year_counts,0.04832199898923327,-0.12460229625806139,0.021282455000941652,0.0
0.1,4,sequence_permutation_preserve_city_year_counts,0.04732347923132467,-0.470306551398936,0.021282455000941652,0.0
0.1,5,sequence_permutation_preserve_city_year_counts,0.05101646464633398,-0.2546333965391734,0.021282455000941652,0.0
0.1,6,sequence_permutation_preserve_city_year_counts,0.04686152940173458,-0.04995193452098232,0.021282455000941652,0.0
0.1,7,sequence_permutation_preserve_city_year_counts,0.04806471327648747,-0.46428325784362534,0.021282455000941652,0.0
0.1,8,sequence_permutation_preserve_city_year_counts,0.04413463207511996,0.5633399934990756,0.021282455000941652,0.0
0.1,9,sequence_permutation_preserve_city_year_counts,0.042845121265397725,0.08724230662162154,0.021282455000941652,0.0
0.1,10,sequence_permutation_preserve_city_year_counts,0.04656436929062087,0.3930113367117671,0.021282455000941652,0.0
0.1,11,sequence_permutation_preserve_city_year_counts,0.043866885701100304,-0.0919650024225774,0.021282455000941652,0.0
0.1,12,sequence_permutation_preserve_city_year_counts,0.048577958014690246,-0.2658252962738748,0.021282455000941652,0.0
0.1,13,sequence_permutation_preserve_city_year_counts,0.047371934375366485,-0.30017393060250797,0.021282455000941652,0.0
0.1,14,sequence_permutation_preserve_city_year_counts,0.04565572888125732,-0.2605698447355325,0.021282455000941652,0.0
0.1,15,sequence_permutation_preserve_city_year_counts,0.04144108520060152,0.1971761588324789,0.021282455000941652,0.0
0.1,16,sequence_permutation_preserve_city_year_counts,0.04212204895295761,0.2644013067280488,0.021282455000941652,0.0
0.1,17,sequence_permutation_preserve_city_year_counts,0.045403540657172316,-0.43382632085211875,0.021282455000941652,0.0
0.1,18,sequence_permutation_preserve_city_year_counts,0.045889576914991057,-0.1251366131464687,0.021282455000941652,0.0
0.1,19,sequence_permutation_preserve_city_year_counts,0.04666451497046862,0.13182789103106277,0.021282455000941652,0.0
0.1,20,sequence_permutation_preserve_city_year_counts,0.04690375011797019,-0.32440882216341194,0.021282455000941652,0.0
0.1,21,sequence_permutation_preserve_city_year_counts,0.04399611931368226,0.653057402661173,0.021282455000941652,0.0
0.1,22,sequence_permutation_preserve_city_year_counts,0.04831445459340896,-0.00117704496654512,0.021282455000941652,0.0
0.1,23,sequence_permutation_preserve_city_year_counts,0.0460413780629315,0.4163041669494053,0.021282455000941652,0.0
0.1,24,sequence_permutation_preserve_city_year_counts,0.04905223011918676,-0.47819494674037827,0.021282455000941652,0.0
0.1,25,sequence_permutation_preserve_city_year_counts,0.04591813880069736,-0.49134641646950894,0.021282455000941652,0.0
0.1,26,sequence_permutation_preserve_city_year_counts,0.045757271276524084,-0.12392899792599477,0.021282455000941652,0.0
0.1,27,sequence_permutation_preserve_city_year_counts,0.04594494214311822,-0.29713412006306766,0.021282455000941652,0.0
0.1,28,sequence_permutation_preserve_city_year_counts,0.04799774572563796,0.44011984344887534,0.021282455000941652,0.0
0.1,29,sequence_permutation_preserve_city_year_counts,0.04924729420300487,-0.40980982058132615,0.021282455000941652,0.0
0.1,30,sequence_permutation_preserve_city_year_counts,0.043667381183539515,0.021558872200516124,0.021282455000941652,0.0
0.1,31,sequence_permutation_preserve_city_year_counts,0.04485304321573661,-0.4036374549690178,0.021282455000941652,0.0
0.1,32,sequence_permutation_preserve_city_year_counts,0.045885945922131986,0.10774886671485204,0.021282455000941652,0.0
0.1,33,sequence_permutation_preserve_city_year_counts,0.04501190281833105,-0.41320496396202344,0.021282455000941652,0.0
0.1,34,sequence_permutation_preserve_city_year_counts,0.0445800903000896,0.09325601027121568,0.021282455000941652,0.0
0.1,35,sequence_permutation_preserve_city_year_counts,0.047594534272394906,-0.43221881969287834,0.021282455000941652,0.0
0.1,36,sequence_permutation_preserve_city_year_counts,0.04649311923448414,-0.08729493202641037,0.021282455000941652,0.0
0.1,37,sequence_permutation_preserve_city_year_counts,0.04680938827094959,-0.2989928717132655,0.021282455000941652,0.0
0.1,38,sequence_permutation_preserve_city_year_counts,0.04557937095729268,0.12705473390803373,0.021282455000941652,0.0
0.1,39,sequence_permutation_preserve_city_year_counts,0.04482989293579886,-0.02950743062425881,0.021282455000941652,0.0
0.1,40,sequence_permutation_preserve_city_year_counts,0.04324211000672651,0.1337015878252808,0.021282455000941652,0.0
0.1,41,sequence_permutation_preserve_city_year_counts,0.04703329275741518,-0.1331844703743053,0.021282455000941652,0.0
0.1,42,sequence_permutation_preserve_city_year_counts,0.05129357374351193,0.3246756471583518,0.021282455000941652,0.0
0.1,43,sequence_permutation_preserve_city_year_counts,0.046715027774743,-0.23966078190893023,0.021282455000941652,0.0
0.1,44,sequence_permutation_preserve_city_year_counts,0.0459776849619714,-0.29074939029681107,0.021282455000941652,0.0
0.1,45,sequence_permutation_preserve_city_year_counts,0.04728291077738284,0.3285274626941476,0.021282455000941652,0.0
0.1,46,sequence_permutation_preserve_city_year_counts,0.043932446923837756,0.24721857849663195,0.021282455000941652,0.0
0.1,47,sequence_permutation_preserve_city_year_counts,0.04869440927408127,-0.019502264915124714,0.021282455000941652,0.0
0.1,48,sequence_permutation_preserve_city_year_counts,0.03986723347915254,-0.24006452497023917,0.021282455000941652,0.0
0.1,49,sequence_permutation_preserve_city_year_counts,0.040543032224690585,0.05781387755952961,0.021282455000941652,0.0
0.1,50,sequence_permutation_preserve_city_year_counts,0.046904265601061555,-0.3678580534513239,0.021282455000941652,0.0
0.1,51,sequence_permutation_preserve_city_year_counts,0.04711357790597292,-0.3957610173771689,0.021282455000941652,0.0
0.1,52,sequence_permutation_preserve_city_year_counts,0.04753437333389144,-0.2758990591949444,0.021282455000941652,0.0
0.1,53,sequence_permutation_preserve_city_year_counts,0.041083108337789075,0.2882349326061724,0.021282455000941652,0.0
0.1,54,sequence_permutation_preserve_city_year_counts,0.04709751976785305,0.0476233408938374,0.021282455000941652,0.0
0.1,55,sequence_permutation_preserve_city_year_counts,0.047867785040154626,-0.4490874196966613,0.021282455000941652,0.0
0.1,56,sequence_permutation_preserve_city_year_counts,0.04463261861355259,0.5007118790564903,0.021282455000941652,0.0
0.1,57,sequence_permutation_preserve_city_year_counts,0.0456846958354882,-0.029434035230638998,0.021282455000941652,0.0
0.1,58,sequence_permutation_preserve_city_year_counts,0.04579519487466518,-0.1865117168085363,0.021282455000941652,0.0
0.1,59,sequence_permutation_preserve_city_year_counts,0.04648224353499655,-0.3627137881847524,0.021282455000941652,0.0
0.1,60,sequence_permutation_preserve_city_year_counts,0.04592077474887634,-0.39187275531841337,0.021282455000941652,0.0
0.1,61,sequence_permutation_preserve_city_year_counts,0.04311116933682918,0.42626866472577507,0.021282455000941652,0.0
0.1,62,sequence_permutation_preserve_city_year_counts,0.04543270317244593,0.38980643462893666,0.021282455000941652,0.0
0.1,63,sequence_permutation_preserve_city_year_counts,0.04590774939175446,0.4912154704176386,0.021282455000941652,0.0
0.1,64,sequence_permutation_preserve_city_year_counts,0.04326362173258928,0.37290163776930085,0.021282455000941652,0.0
0.1,65,sequence_permutation_preserve_city_year_counts,0.04847172691245262,0.25506188994911594,0.021282455000941652,0.0
0.1,66,sequence_permutation_preserve_city_year_counts,0.047182126878772,0.03432628179002337,0.021282455000941652,0.0
0.1,67,sequence_permutation_preserve_city_year_counts,0.0420372876334639,0.18091181704239792,0.021282455000941652,0.0
0.1,68,sequence_permutation_preserve_city_year_counts,0.04722225923702012,-0.3419681922581166,0.021282455000941652,0.0
0.1,69,sequence_permutation_preserve_city_year_counts,0.04740616006151663,-0.15817321099187434,0.021282455000941652,0.0
0.1,70,sequence_permutation_preserve_city_year_counts,0.04821247961327343,0.11026364720670774,0.021282455000941652,0.0
0.1,71,sequence_permutation_preserve_city_year_counts,0.0460018866453947,0.405209324380744,0.021282455000941652,0.0
0.1,72,sequence_permutation_preserve_city_year_counts,0.044348671658497735,0.2077742611630735,0.021282455000941652,0.0
0.1,73,sequence_permutation_preserve_city_year_counts,0.04709749598610488,0.10715975413139459,0.021282455000941652,0.0
0.1,74,sequence_permutation_preserve_city_year_counts,0.042483679424069484,0.05224973441799425,0.021282455000941652,0.0
0.1,75,sequence_permutation_preserve_city_year_counts,0.04430580715223313,0.13618284579850007,0.021282455000941652,0.0
0.1,76,sequence_permutation_preserve_city_year_counts,0.044751155865237244,0.028464675162833734,0.021282455000941652,0.0
0.1,77,sequence_permutation_preserve_city_year_counts,0.04651385747443196,-0.5603412294091665,0.021282455000941652,0.0
0.1,78,sequence_permutation_preserve_city_year_counts,0.04389092035739731,0.011485955446293763,0.021282455000941652,0.0
0.1,79,sequence_permutation_preserve_city_year_counts,0.0451897311198802,0.13111852808235344,0.021282455000941652,0.0
0.1,80,sequence_permutation_preserve_city_year_counts,0.04544202201099755,-0.16706665933909925,0.021282455000941652,0.0
0.1,81,sequence_permutation_preserve_city_year_counts,0.042446782475194345,0.34867559567820194,0.021282455000941652,0.0
0.1,82,sequence_permutation_preserve_city_year_counts,0.04629259551911425,-0.47513366675214375,0.021282455000941652,0.0
0.1,83,sequence_permutation_preserve_city_year_counts,0.04419896762156075,0.38280710505074284,0.021282455000941652,0.0
0.1,84,sequence_permutation_preserve_city_year_counts,0.048961543281614194,-0.3465231085789569,0.021282455000941652,0.0
0.1,85,sequence_permutation_preserve_city_year_counts,0.045865752046543556,-0.26763311476111834,0.021282455000941652,0.0
0.1,86,sequence_permutation_preserve_city_year_counts,0.04508797960902796,-0.3244836103000571,0.021282455000941652,0.0
0.1,87,sequence_permutation_preserve_city_year_counts,0.05161426493578755,-0.09777733365554928,0.021282455000941652,0.0
0.1,88,sequence_permutation_preserve_city_year_counts,0.04697912275902316,0.4464676457779887,0.021282455000941652,0.0
0.1,89,sequence_permutation_preserve_city_year_counts,0.047568457558173155,0.025720054728217395,0.021282455000941652,0.0
0.1,90,sequence_permutation_preserve_city_year_counts,0.04606209036319456,0.09096571308104753,0.021282455000941652,0.0
0.1,91,sequence_permutation_preserve_city_year_counts,0.0469492251740065,-0.10021246988629762,0.021282455000941652,0.0
0.1,92,sequence_permutation_preserve_city_year_counts,0.046781462276505904,0.13448424331113068,0.021282455000941652,0.0
0.1,93,sequence_permutation_preserve_city_year_counts,0.04620244424109008,-0.5146880662191226,0.021282455000941652,0.0
0.1,94,sequence_permutation_preserve_city_year_counts,0.04684685964066367,0.3531506444654806,0.021282455000941652,0.0
0.1,95,sequence_permutation_preserve_city_year_counts,0.04187281115744214,-0.5095126512685475,0.021282455000941652,0.0
0.1,96,sequence_permutation_preserve_city_year_counts,0.04252704069097189,0.17589439061306494,0.021282455000941652,0.0
0.1,97,sequence_permutation_preserve_city_year_counts,0.04940487176815095,0.39593008167890575,0.021282455000941652,0.0
0.1,98,sequence_permutation_preserve_city_year_counts,0.047580950187770935,-0.12769875361037966,0.021282455000941652,0.0
0.1,99,sequence_permutation_preserve_city_year_counts,0.044672526587796337,-0.0801312029115561,0.021282455000941652,0.0
0.1,100,sequence_permutation_preserve_city_year_counts,0.042507921407223245,-0.037470940435842065,0.021282455000941652,0.0
0.1,101,sequence_permutation_preserve_city_year_counts,0.042504863547124044,0.3448350888404628,0.021282455000941652,0.0
0.1,102,sequence_permutation_preserve_city_year_counts,0.04508497623999954,-0.08714651051671278,0.021282455000941652,0.0
0.1,103,sequence_permutation_preserve_city_year_counts,0.04892851543768623,0.45013848092243974,0.021282455000941652,0.0
0.1,104,sequence_permutation_preserve_city_year_counts,0.05023212013865748,-0.4075271544362626,0.021282455000941652,0.0
0.1,105,sequence_permutation_preserve_city_year_counts,0.047471302538407104,0.4762041611814832,0.021282455000941652,0.0
0.1,106,sequence_permutation_preserve_city_year_counts,0.04210428119176067,0.4963500365215411,0.021282455000941652,0.0
0.1,107,sequence_permutation_preserve_city_year_counts,0.0425065981101389,0.3659562827771362,0.021282455000941652,0.0
0.1,108,sequence_permutation_preserve_city_year_counts,0.048727725387124346,-0.40490720119229473,0.021282455000941652,0.0
0.1,109,sequence_permutation_preserve_city_year_counts,0.04952364639853919,-0.23709278600170847,0.021282455000941652,0.0
0.1,110,sequence_permutation_preserve_city_year_counts,0.04689729668253433,-0.5528164346427917,0.021282455000941652,0.0
0.1,111,sequence_permutation_preserve_city_year_counts,0.04657020427634978,-0.44617615452138665,0.021282455000941652,0.0
0.1,112,sequence_permutation_preserve_city_year_counts,0.04141638526616016,0.135598173152205,0.021282455000941652,0.0
0.1,113,sequence_permutation_preserve_city_year_counts,0.042048346459629196,-0.3686457392168057,0.021282455000941652,0.0
0.1,114,sequence_permutation_preserve_city_year_counts,0.04601396778363619,-0.3671920677641784,0.021282455000941652,0.0
0.1,115,sequence_permutation_preserve_city_year_counts,0.045445013879593314,-0.5804489288525287,0.021282455000941652,0.0
