所属省份,城市,mechanism_group,mean_gini_2018_2022,n_communities_full_window,ever_bottom_share_full_window,overall_conversion,persistent_bottom_3plus_share_full_window,share_first_2021plus,immediate_escape_share,deepening_given_repeat,region_gap_to_null_mean,business_gap_to_null_mean,identity_persistent_share,process_hardening_escape_deepen,process_persistent_escape_deepen,timing_adjusted_hardening,timing_adjusted_persistent_share,concentration_multiplier,concentration_augmented_structure,process_residual,timing_adjusted_residual
上海市,上海,HIHP,0.2323939734330674,3292.0,0.106318347509113,0.6914285714285714,0.0735115431348724,0.0542857142857142,0.239766081871345,0.9153846153846154,0.3320745540762908,0.428277984237819,0.0735115431348724,0.695906432748538,0.07398762195078624,0.6581286549707605,0.06997115104488644,1.7603525383141099,0.13024429810489133,0.00047607881591384127,-0.0035403920899859664
北京市,北京,HIHP,0.2518041069396092,4426.0,0.0908269317668323,0.6293532338308457,0.0571622232263895,0.072139303482587,0.2842105263157894,0.8933823529411765,0.2588244333117306,0.4693366889247021,0.05716222322638948,0.6394736842105263,0.05808143268247434,0.5933424980361351,0.05389147858348988,1.7281611222364328,0.10037407388564469,0.0009192094560848407,-0.0032707446428996215
江苏省,南京,HIHP,0.2308650611988101,497.0,0.1327967806841046,0.3787878787878788,0.0503018108651911,0.1363636363636363,0.5,0.8620689655172413,0.2475114212765963,0.5754308266666668,0.050301810865191136,0.43103448275862066,0.05723999167418302,0.3722570532915361,0.04943453826406716,1.822942247943263,0.10434519909478886,0.006938180808991917,-0.0008672726011239446
天津市,天津,HIHP,0.3399080851860659,2635.0,0.0986717267552182,0.5692307692307692,0.0561669829222011,0.1692307692307692,0.354978354978355,0.8657718120805369,0.245457966887453,0.2176833853975299,0.056166982922201125,0.5584415584415584,0.055102392863303665,0.463936063936064,0.045777372532590746,1.463141352284983,0.08062258960815252,-0.0010645900588974327,-0.010389610389610351
河北省,石家庄,other,0.1507601496645623,524.0,0.0877862595419847,0.5652173913043478,0.049618320610687,0.0,0.3478260869565217,0.8666666666666667,-0.1819080304311074,-0.1283801572505469,0.049618320610687,0.5652173913043479,0.04961832061068701,0.5652173913043479,0.04961832061068701,1.0,0.04961832061068701,6.938893903907228e-18,6.938893903907228e-18
辽宁省,沈阳,HIHP,0.19814809351285,652.0,0.1211656441717791,0.2911392405063291,0.0352760736196319,0.2025316455696202,0.6571428571428571,0.8333333333333334,-0.0007637837778773,0.0907624894747705,0.035276073619631886,0.28571428571428575,0.03461875547765118,0.2278481012658228,0.027607361963190177,1.0907624894747705,0.037760839907321146,-0.0006573181419807228,-0.007668711656441722
河北省,廊坊,other,0.1692405154008736,226.0,0.1194690265486725,0.4074074074074074,0.0486725663716814,0.1111111111111111,0.6666666666666666,0.7777777777777778,-0.1719964339927233,-0.1719964339927233,0.04867256637168139,0.2592592592592593,0.030973451327433617,0.23045267489711938,0.02753195673549655,1.0,0.030973451327433617,-0.017699115044247784,-0.021140609636184853
江苏省,无锡,HIHP,0.2137806792184617,312.0,0.1089743589743589,0.2647058823529412,0.0288461538461538,0.0294117647058823,0.5454545454545454,0.5333333333333333,0.14125645342312,0.4777589653145209,0.028846153846153827,0.24242424242424243,0.026418026418026402,0.23529411764705888,0.02564102564102563,1.6190154187376409,0.04277119210340308,-0.002428127428127397,-0.0032051282051281695
吉林省,长春,other,0.145539889295396,442.0,0.1334841628959276,0.0847457627118644,0.0113122171945701,0.3728813559322034,0.7333333333333333,0.4166666666666667,1.4487525343811392,3.2163517880794688,0.011312217194570135,0.11111111111111113,0.01483157365510307,0.0696798493408663,0.00930115635997989,5.665104322460608,0.08402241202241728,0.003519356460532969,-0.0020110608345902115
江苏省,徐州,HILP,0.1911870288121159,317.0,0.1198738170347003,0.0789473684210526,0.0094637223974763,0.3947368421052631,0.8,0.6,-0.6682859903381646,-0.2601801801801811,0.009463722397476336,0.11999999999999997,0.014384858044164032,0.07263157894736841,0.008706624605678231,1.0,0.014384858044164032,0.004921135646687733,-0.0007570977917980681
辽宁省,大连,HILP,0.2520720259822621,1318.0,0.1084977238239757,0.1048951048951049,0.011380880121396,0.0139860139860139,0.7112676056338029,0.3658536585365853,0.3748643442575976,0.4307536532913718,0.011380880121396052,0.10563380281690136,0.011461027164504471,0.10415640697330837,0.011300733078287628,1.8056179975489695,0.020694236918626905,8.014704310847082e-05,-8.014704310837194e-05
黑龙江省,哈尔滨,HILP,0.1873791541522305,358.0,0.1620111731843575,0.0344827586206896,0.0055865921787709,0.4655172413793103,0.9523809523809524,0.0,-0.4278771929824554,-0.2208686868686875,0.0055865921787709395,0.0,0.0,0.0,0.0,1.0,0.0,-0.0055865921787709,-0.0055865921787709
