test,cutoff_q,threshold_role,predictor,predictor_label,mae,mae_ci_low,mae_ci_high,pearson,pearson_ci_low,pearson_ci_high,relative_mae_reduction_vs_exposure_only
single_split_2018_2020_to_2021_2022,0.1,China discovery definition,markov_pair,Markov-pair null,0.009242836172748,0.0039450236615806,0.0168105946779679,0.7444499009119708,0.4761203465446838,0.9724072967982172,0.9170464181726256
single_split_2018_2020_to_2021_2022,0.1,China discovery definition,pathway_active,Early pathway,0.0212824550009416,0.0141088929107481,0.0302844323802453,0.6807503267650606,0.4016916717518941,0.9339448628437836,0.8089919761194768
single_split_2018_2020_to_2021_2022,0.1,China discovery definition,independence,Independence null,0.050081935847816,0.0398385217714771,0.060123436246016,-0.1538795251522874,-0.6298963961565627,0.3208059434058356,0.5505193551223664
single_split_2018_2020_to_2021_2022,0.1,China discovery definition,exposure_only,Exposure only,0.1114217851615175,0.0842347832019953,0.1387998995298973,-0.6813523578003358,-0.9541562950031156,-0.3623943583416386,0.0
single_split_2018_2020_to_2021_2022,0.15,Sensitivity / source-specific lower-tail threshold,markov_pair,Markov-pair null,0.012636925349895,0.0078541191663953,0.0185157713809494,0.7444931196226325,0.4482347279612206,0.9464215785717414,0.9069997013133014
single_split_2018_2020_to_2021_2022,0.15,Sensitivity / source-specific lower-tail threshold,pathway_active,Early pathway,0.0221384403709515,0.0162050811270468,0.0278227562333281,0.8141864790606386,0.621505591807126,0.9282781248379598,0.8370741687594714
single_split_2018_2020_to_2021_2022,0.15,Sensitivity / source-specific lower-tail threshold,independence,Independence null,0.0789602718905506,0.0684986394718267,0.0887332240442408,-0.4406974063388783,-0.747007504111276,0.0033911538117429,0.4188990860609053
single_split_2018_2020_to_2021_2022,0.15,Sensitivity / source-specific lower-tail threshold,exposure_only,Exposure only,0.1358804813355129,0.1057785013638457,0.1657243733174645,-0.781019687796468,-0.9366951679882042,-0.5525352016216755,0.0
single_split_2018_2020_to_2021_2022,0.2,Sensitivity / source-specific lower-tail threshold,markov_pair,Markov-pair null,0.0218494037047695,0.0120538364103904,0.034316919806304,0.4290066110311114,-0.0703951663497039,0.8783743227387207,0.8616463835895036
single_split_2018_2020_to_2021_2022,0.2,Sensitivity / source-specific lower-tail threshold,pathway_active,Early pathway,0.0337522558808113,0.0248907603377056,0.0430859671591924,0.6146486881047493,0.1089725148313519,0.9079454134540184,0.7862757846291555
single_split_2018_2020_to_2021_2022,0.2,Sensitivity / source-specific lower-tail threshold,independence,Independence null,0.1009031343236919,0.0864766089886695,0.1150426437284783,0.0644043865635311,-0.7267360858284351,0.4732184768745011,0.3610666117268258
single_split_2018_2020_to_2021_2022,0.2,Sensitivity / source-specific lower-tail threshold,exposure_only,Exposure only,0.1579243410590887,0.1251914040266065,0.1914942458437666,-0.4097450300116422,-0.8890550748675797,0.1221362138219652,0.0
single_split_2018_2020_to_2021_2022,0.25,Sensitivity / source-specific lower-tail threshold,markov_pair,Markov-pair null,0.023258741397021,0.0122334350990891,0.0390664495347321,0.2922872206496908,-0.2878922577334617,0.9015162268502592,0.8621608099602748
single_split_2018_2020_to_2021_2022,0.25,Sensitivity / source-specific lower-tail threshold,pathway_active,Early pathway,0.0374504141841392,0.0281440918479524,0.0470423257916952,0.4701290071616549,0.0089135808306927,0.8579253959437582,0.7780561437234458
single_split_2018_2020_to_2021_2022,0.25,Sensitivity / source-specific lower-tail threshold,independence,Independence null,0.1258898239126769,0.1101317737578154,0.1410679866300387,-0.1620535372937836,-0.6013715803743194,0.457600636811924,0.2539342062339849
single_split_2018_2020_to_2021_2022,0.25,Sensitivity / source-specific lower-tail threshold,exposure_only,Exposure only,0.1687382332290107,0.1362035137915303,0.2025877534750112,-0.3677911942319293,-0.8821688971077877,0.2314887699886182,0.0
single_split_2018_2020_to_2021_2022,0.3,Sensitivity / source-specific lower-tail threshold,markov_pair,Markov-pair null,0.0197563398288119,0.0116704289878106,0.0310851113735419,0.5584525312688036,0.0801029548630117,0.9250614485189346,0.8886302374777928
single_split_2018_2020_to_2021_2022,0.3,Sensitivity / source-specific lower-tail threshold,pathway_active,Early pathway,0.0346808872303385,0.0268342407457605,0.04329524163804,0.7039910820403127,0.2639371292281909,0.9356477841383236,0.8044980898096595
single_split_2018_2020_to_2021_2022,0.3,Sensitivity / source-specific lower-tail threshold,independence,Independence null,0.1430992295129049,0.127672476871956,0.157161763231065,-0.0261123690626907,-0.4346144416934433,0.3705338960450486,0.1933259224099208
single_split_2018_2020_to_2021_2022,0.3,Sensitivity / source-specific lower-tail threshold,exposure_only,Exposure only,0.177394109329025,0.145436690058486,0.2086888283032628,-0.6078468964164281,-0.913636088125893,-0.1583828585175133,0.0
rolling_origin_2010_2022,0.1,China discovery definition,markov_pair,Markov-pair null,0.012317999034466,0.00951653351704,0.0159781309400909,0.5841966122455726,0.3589516022372,0.7732111151446188,0.8682384746081221
rolling_origin_2010_2022,0.1,China discovery definition,pathway_active,Early pathway,0.0146316275212069,0.0114083225078527,0.0201670514898177,0.5536486194770597,0.3274666785732341,0.7479388085727666,0.8434903626988657
rolling_origin_2010_2022,0.1,China discovery definition,independence,Independence null,0.0616004860162307,0.052971038846765,0.0668938608368984,0.2423019359156766,-0.2208913014130766,0.5392918440398593,0.3410801559840003
rolling_origin_2010_2022,0.1,China discovery definition,exposure_only,Exposure only,0.0934870706591362,0.0777204108381167,0.1170450279638136,-0.4614801851046264,-0.7306521712405032,-0.1284671298006675,0.0
rolling_origin_2010_2022,0.2,Sensitivity / source-specific lower-tail threshold,markov_pair,Markov-pair null,0.0195411022038998,0.0144957947847111,0.0267948264867162,0.4893682118596067,0.155917445342024,0.7091990153337893,0.8557009349480561
