cutoff_q,horizon_years,target_mode,predictor,predictor_label,n,pearson,spearman,mae,rmse,bias,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,mae_reduction_vs_exposure_only,relative_mae_reduction_vs_exposure_only,mae_minus_markov_stationary
0.1,1,all_holdout_years,independence,Independence,79,0.9999999999999998,1.0,0.0,0.0,0.0,1.0000000000000007,-4.996393969341035e-17,0.0,0.0,0.06045894908782102,1.0,0.0
0.1,1,all_holdout_years,markov_stationary,Markov stationary,79,0.9999999999999998,1.0,0.0,0.0,0.0,1.0000000000000007,-4.996393969341035e-17,0.0,0.0,0.06045894908782102,1.0,0.0
0.1,1,all_holdout_years,markov_last_state,Markov last-state,79,0.9999999999999996,0.9999756388706145,3.162027601780509e-18,6.6243451072511566e-18,-3.5133640019783434e-19,1.0000000000000004,-3.122746230838147e-17,1.8812951028364714e-18,4.3003281039732e-18,0.06045894908782102,1.0,3.162027601780509e-18
0.1,1,all_holdout_years,pathway_active,Pathway,79,-0.16842563439784972,-0.42787133117954557,0.021502509338551017,0.025733323749201176,-0.021502509338551017,-0.052554312399587605,0.10616801578342268,0.01720742040172449,0.027361244898384204,0.03895643974927,0.6443453010187614,0.021502509338551017
0.1,1,all_holdout_years,pathway_strict,Strict pathway,79,-0.39159480730139384,-0.5440537629739994,0.04881515937236613,0.05463889230160914,-0.04881515937236613,-0.06942533213230968,0.10562889935538397,0.042088941430588535,0.057578829538543846,0.011643789715454891,0.1925900117539496,0.04881515937236613
0.1,1,all_holdout_years,exposure_only,Exposure only,79,0.4304676168883758,0.5993522682736518,0.06045894908782102,0.06778940365002871,0.06045894908782102,0.05381484483537224,0.09320113592869823,0.050996615242157116,0.0730019135113783,0.0,0.0,0.06045894908782102
0.1,2,all_holdout_years,markov_stationary,Markov stationary,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240378,0.8931139031542561,0.012002535376711313,0.009432146622795125,0.016097349829731083,0.08116907162467017,0.8682384746081221,0.0
0.1,2,all_holdout_years,markov_last_state,Markov last-state,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240379,0.8931139031542561,0.012002535376711313,0.009603925989752512,0.016360782692000284,0.08116907162467017,0.8682384746081221,0.0
0.1,2,all_holdout_years,pathway_active,Pathway,58,0.5536486194770597,0.5480020917284445,0.014631627521206926,0.020784751888561156,0.010214665436156935,1.0668193884477395,-0.015700448985436963,0.011338435435517548,0.020348336652907164,0.0788554431379293,0.8434903626988657,0.002313628486740856
0.1,2,all_holdout_years,pathway_strict,Strict pathway,58,0.32390736856239566,0.39721307945492024,0.022815860672135427,0.03117462354015323,-0.01872203988175559,0.33266295742021607,0.05419899443745632,0.01803655022947199,0.02786458381542245,0.07067120998700081,0.7559463516048709,0.010497861637669357
0.1,2,all_holdout_years,independence,Independence,58,0.24230193591567664,-0.15963814547697155,0.06160048601623079,0.06490903216973652,-0.06125565843002389,4.58811701822521,0.02311987509533156,0.05356275572912581,0.06706045337222703,0.03188658464290545,0.3410801559840003,0.04928248698176472
0.1,2,all_holdout_years,exposure_only,Exposure only,58,-0.46148018510462646,-0.5227248258766155,0.09348707065913624,0.10529622143251693,0.09348707065913624,-0.2910800097127023,0.12002023087060285,0.0771113410228601,0.11381586470702451,0.0,0.0,0.08116907162467017
0.1,3,all_holdout_years,pathway_strict,Strict pathway,38,0.44001984667821537,0.3582489745445479,0.016625976761346476,0.022656978477401928,-0.012068736095624286,0.4291851755323986,0.04200969511918217,0.012585781280747084,0.022156703596735862,0.0798220606650522,0.8276172620512463,-0.0029019313323159455
0.1,3,all_holdout_years,pathway_active,Pathway,38,0.5620268403822888,0.40555920575517695,0.019195189476776665,0.023598223913336602,0.01835067209816689,1.1212151179927343,-0.02839606275450368,0.01626668065415909,0.023032061077619913,0.077252847949622,0.8009789520971344,-0.00033271861688575696
0.1,3,all_holdout_years,markov_stationary,Markov stationary,38,0.5324630110008104,0.43346465569245984,0.01952790809366242,0.02390068572410443,-0.01738631519943199,0.6020137469780595,0.036145571046474784,0.014883626382010573,0.024631402644552925,0.07692012933273625,0.7975292332043092,0.0
0.1,3,all_holdout_years,markov_last_state,Markov last-state,38,0.5324630110008104,0.43346465569245984,0.01952790809366242,0.02390068572410443,-0.01738631519943199,0.6020137469780595,0.036145571046474784,0.01462606153644255,0.024848627863997167,0.07692012933273625,0.7975292332043092,0.0
0.1,3,all_holdout_years,independence,Independence,38,-0.02789071746217101,-0.31679812019682513,0.06342392418863473,0.06590062390933041,-0.06342392418863473,-2.3393435841918815,0.06708994819729527,0.05787709082511918,0.06880653451343617,0.03302411323776394,0.34240316463634907,0.043896016094972304
0.1,3,all_holdout_years,exposure_only,Exposure only,38,-0.5188970665161458,-0.41528948232461416,0.09644803742639867,0.10492378462518738,0.09644803742639867,-0.31904779693043017,0.11587880859018829,0.07853640079696045,0.11471678754422576,0.0,0.0,0.07692012933273625
0.1,4,all_holdout_years,pathway_strict,Strict pathway,29,0.4985800682772897,0.38768472906403934,0.014894410837236128,0.020843597268079283,-0.008328305638176764,0.5270318299759377,0.031745882982411246,0.008672296565674132,0.021706133837155594,0.09292328898052764,0.8618556056898724,-0.0125954399349785
0.1,4,all_holdout_years,pathway_active,Pathway,29,0.5727845229439774,0.45911330049261073,0.024133571807708847,0.02828027601194422,0.0232541069350268,1.1098949334395882,-0.032165966735023296,0.02105077772266105,0.028522535713981258,0.08368412801005491,0.7761631731292725,-0.0033562789645057815
0.1,4,all_holdout_years,markov_stationary,Markov stationary,29,0.4806811535480097,0.40935960591132997,0.02748985077221463,0.03283790792018234,-0.02736991074222962,0.6168382872972569,0.03904498105563394,0.020737645146871944,0.03508873665040928,0.08032784904554913,0.7450339710578255,0.0
0.1,4,all_holdout_years,markov_last_state,Markov last-state,29,0.4806811535480097,0.40935960591132997,0.02748985077221463,0.03283790792018234,-0.02736991074222962,0.6168382872972569,0.03904498105563394,0.020538111533087294,0.034652072896177,0.08032784904554913,0.7450339710578255,0.0
0.1,4,all_holdout_years,independence,Independence,29,0.10983721053241065,-0.09089789451876466,0.05772457706588206,0.06095597430695688,-0.05772457706588206,59.70235206649105,0.050933853835421136,0.04996487113832972,0.06392427594085463,0.0500931227518817,0.46460945500182604,0.030234726293667434
0.1,4,all_holdout_years,exposure_only,Exposure only,29,-0.44746275759424003,-0.3201970443349753,0.10781769981776376,0.11635345921149977,0.10781769981776376,-0.2798538442410779,0.10420027389510478,0.08640200984811143,0.12901844286430583,0.0,0.0,0.08032784904554913
0.1,5,all_holdout_years,pathway_strict,Strict pathway,22,0.4450242899156831,0.38565782044042923,0.01610610294519453,0.021876596528195815,-0.0022334123371516162,0.46024583942813785,0.02894683949465042,0.0089628363285965,0.025679503375438364,0.10177698429245748,0.8633722332642624,-0.015365431209954615
0.1,5,all_holdout_years,pathway_active,Pathway,22,0.5799545683702776,0.5042348955392434,0.029633319456135402,0.03422654193558949,0.029633319456135402,1.0774392168794822,-0.03593366362877423,0.02455706734358263,0.03668900111422956,0.08824976778151661,0.7486211113864476,-0.001838214699013744
0.1,5,all_holdout_years,markov_stationary,Markov stationary,22,0.38763262479261285,0.40824392998306047,0.031471534155149146,0.03631838105508222,-0.030190901744081945,0.5864269709827623,0.039096928808919185,0.024400817385503742,0.03898662250740091,0.08641155308250287,0.733027570853293,0.0
0.1,5,all_holdout_years,markov_last_state,Markov last-state,22,0.38763262479261285,0.40824392998306047,0.031471534155149146,0.03631838105508222,-0.030190901744081945,0.5864269709827623,0.039096928808919185,0.023954448799358347,0.03888570817790942,0.08641155308250287,0.733027570853293,0.0
0.1,5,all_holdout_years,independence,Independence,22,0.2801824499913453,-0.3168596568036009,0.051713160671093196,0.05581079318847434,-0.051711781341105795,755.2955265589885,0.04154982640686526,0.04071810914037202,0.059944515737428886,0.06616992656655882,0.5613182358650008,0.02024162651594405
0.1,5,all_holdout_years,exposure_only,Exposure only,22,-0.30861533637818045,-0.3235460191981932,0.117883087237652,0.12649868595143612,0.117883087237652,-0.18602596585109774,0.0832768088482661,0.09193347475241971,0.14443086766568414,0.0,0.0,0.08641155308250287
0.1,1,majority_holdout_years,independence,Independence,79,0.9999999999999998,1.0,0.0,0.0,0.0,1.0000000000000007,-4.996393969341035e-17,0.0,0.0,0.06045894908782102,1.0,0.0
0.1,1,majority_holdout_years,markov_stationary,Markov stationary,79,0.9999999999999998,1.0,0.0,0.0,0.0,1.0000000000000007,-4.996393969341035e-17,0.0,0.0,0.06045894908782102,1.0,0.0
0.1,1,majority_holdout_years,markov_last_state,Markov last-state,79,0.9999999999999996,0.9999756388706145,3.162027601780509e-18,6.6243451072511566e-18,-3.5133640019783434e-19,1.0000000000000004,-3.122746230838147e-17,1.8812951028364714e-18,4.3003281039732e-18,0.06045894908782102,1.0,3.162027601780509e-18
0.1,1,majority_holdout_years,pathway_active,Pathway,79,-0.16842563439784972,-0.42787133117954557,0.021502509338551017,0.025733323749201176,-0.021502509338551017,-0.052554312399587605,0.10616801578342268,0.01720742040172449,0.027361244898384204,0.03895643974927,0.6443453010187614,0.021502509338551017
0.1,1,majority_holdout_years,pathway_strict,Strict pathway,79,-0.39159480730139384,-0.5440537629739994,0.04881515937236613,0.05463889230160914,-0.04881515937236613,-0.06942533213230968,0.10562889935538397,0.042088941430588535,0.057578829538543846,0.011643789715454891,0.1925900117539496,0.04881515937236613
