cutoff_q,origin_year,train_years,holdout_years,城市,n_units,p_holdout_repeat,p_holdout_mean,p_holdout_ever,X_train,lambda_train,non_escape_train,lambda_denominator,delta_active_train,delta_all_train,delta_denominator,train_bottom_share_mean,train_bottom_share_last,p11_train,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.1,2011,2011-2013,2014-2015,北京,2236,0.08407871198568873,0.1001788908765653,0.11627906976744186,0.1440071556350626,0.3263888888888889,0.6736111111111112,288,0.9134615384615384,0.6826923076923077,208,0.1001788908765653,0.1001788908765653,0.75,448,0.08861017222069326,0.06622444450178128,0.1440071556350626,0.010035810177258778,0.07513416815742398,0.07513416815742398
0.1,2012,2012-2014,2015-2016,上海,55,0.07272727272727272,0.10909090909090909,0.14545454545454545,0.23636363636363636,0.7,0.30000000000000004,10,1.0,0.6666666666666666,3,0.10909090909090909,0.10909090909090909,0.4166666666666667,12,0.07090909090909092,0.04727272727272728,0.23636363636363636,0.011900826446280991,0.045454545454545456,0.045454545454545456
0.1,2012,2012-2014,2015-2016,北京,3764,0.06987247608926674,0.10015940488841658,0.13044633368756642,0.13257173219978746,0.2782608695652174,0.7217391304347827,460,0.931129476584022,0.7410468319559229,363,0.10015940488841658,0.10015940488841658,0.7970822281167109,754,0.08909252305983562,0.07090499616300527,0.13257173219978746,0.010031906387601769,0.07983528161530287,0.07983528161530287
0.1,2012,2012-2014,2015-2016,南京,240,0.058333333333333334,0.1,0.14166666666666666,0.2,0.6153846153846154,0.3846153846153846,39,0.7894736842105263,0.2631578947368421,19,0.1,0.1,0.4166666666666667,48,0.06072874493927126,0.020242914979757085,0.2,0.010000000000000002,0.04166666666666667,0.04166666666666667
0.1,2012,2012-2014,2015-2016,天津,23,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.6,0.4,5,1.0,0.3333333333333333,3,0.13043478260869565,0.13043478260869565,0.5,6,0.08695652173913043,0.02898550724637681,0.21739130434782608,0.017013232514177693,0.06521739130434782,0.06521739130434782
0.1,2013,2013-2015,2016-2017,上海,89,0.0449438202247191,0.10112359550561797,0.15730337078651685,0.20224719101123595,0.6,0.4,15,1.0,0.5,6,0.10112359550561797,0.10112359550561797,0.5,18,0.08089887640449439,0.040449438202247195,0.20224719101123595,0.010225981567983839,0.05056179775280899,0.05056179775280899
0.1,2013,2013-2015,2016-2017,北京,4057,0.07616465368498891,0.10007394626571359,0.12398323884643825,0.13063840276066058,0.25357873210633947,0.7464212678936606,489,0.9217171717171717,0.7373737373737373,396,0.10007394626571359,0.10007394626571359,0.8091133004926109,812,0.08987782326221833,0.07190225860977466,0.13063840276066058,0.01001479472119293,0.08097116095637172,0.08097116095637172
0.1,2013,2013-2015,2016-2017,南京,429,0.04428904428904429,0.10023310023310024,0.1561771561771562,0.1888111888111888,0.5522388059701493,0.4477611940298507,67,0.8529411764705882,0.4117647058823529,34,0.10023310023310024,0.10023310023310024,0.5116279069767442,86,0.07210962873825032,0.03481154490812084,0.1888111888111888,0.01004667438233872,0.05128205128205129,0.05128205128205129
0.1,2013,2013-2015,2016-2017,大连,28,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.25,0.75,4,0.75,0.25,4,0.10714285714285714,0.10714285714285714,0.6666666666666666,6,0.08035714285714285,0.026785714285714284,0.14285714285714285,0.011479591836734693,0.07142857142857142,0.07142857142857142
0.1,2013,2013-2015,2016-2017,天津,256,0.0625,0.1015625,0.140625,0.15234375,0.3333333333333333,0.6666666666666667,33,0.9090909090909091,0.7727272727272727,22,0.1015625,0.1015625,0.75,52,0.09232954545454547,0.07848011363636365,0.15234375,0.01031494140625,0.076171875,0.076171875
