cutoff_q,origin_year,train_years,holdout_years,城市,n_units,horizon_years,target_half_min_count,X_train,lambda_train,non_escape_train,lambda_denominator,delta_active_train,delta_strict_train,delta_denominator,kernel_active,kernel_strict,train_bottom_share_mean,train_bottom_share_last,p11_train,p01_train,p11_denominator,p01_denominator,target_all,target_majority,target_ever,target_mean,pred_pathway_active,pred_pathway_strict,pred_exposure_only,pred_independence_all,pred_independence_majority,pred_markov_stationary_all,pred_markov_stationary_majority,pred_markov_last_state_all,pred_markov_last_state_majority,target_mode,target,pred_independence,pred_markov_stationary,pred_markov_last_state
0.1,2011,2011-2013,2014-2014,北京,2244,1,1,0.1443850267379679,0.3275862068965517,0.6724137931034483,290,0.9138755980861244,0.6794258373205742,209,0.6145025573337733,0.45685530440521366,0.10026737967914438,0.10026737967914438,0.7488888888888889,0.027984150569588907,450,4038,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.08872496817118651,0.06596306534192924,0.1443850267379679,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,all_holdout_years,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438
0.1,2011,2011-2013,2014-2014,北京,2244,1,1,0.1443850267379679,0.3275862068965517,0.6724137931034483,290,0.9138755980861244,0.6794258373205742,209,0.6145025573337733,0.45685530440521366,0.10026737967914438,0.10026737967914438,0.7488888888888889,0.027984150569588907,450,4038,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.08872496817118651,0.06596306534192924,0.1443850267379679,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438,majority_holdout_years,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.10026737967914438
0.1,2012,2012-2014,2015-2015,上海,185,1,1,0.21081081081081082,0.7096774193548387,0.29032258064516125,31,0.8461538461538461,0.38461538461538464,13,0.24565756823821336,0.11166253101736973,0.10270270270270271,0.10270270270270271,0.3684210526315789,0.07228915662650602,38,332,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.05178727114210985,0.023539668700959023,0.21081081081081082,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.1027027027027027,0.1027027027027027,all_holdout_years,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.1027027027027027
0.1,2012,2012-2014,2015-2015,上海,185,1,1,0.21081081081081082,0.7096774193548387,0.29032258064516125,31,0.8461538461538461,0.38461538461538464,13,0.24565756823821336,0.11166253101736973,0.10270270270270271,0.10270270270270271,0.3684210526315789,0.07228915662650602,38,332,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.05178727114210985,0.023539668700959023,0.21081081081081082,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.1027027027027027,0.1027027027027027,majority_holdout_years,0.10270270270270271,0.10270270270270271,0.10270270270270271,0.1027027027027027
0.1,2012,2012-2014,2015-2015,北京,3785,1,1,0.13236459709379128,0.2786177105831533,0.7213822894168467,463,0.9316939890710383,0.7377049180327869,366,0.6721075428719802,0.532167262684559,0.10013210039630119,0.10013210039630119,0.7968337730870713,0.022607163828537873,758,6812,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.08896324411594769,0.07044010531174745,0.13236459709379128,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,all_holdout_years,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119
0.1,2012,2012-2014,2015-2015,北京,3785,1,1,0.13236459709379128,0.2786177105831533,0.7213822894168467,463,0.9316939890710383,0.7377049180327869,366,0.6721075428719802,0.532167262684559,0.10013210039630119,0.10013210039630119,0.7968337730870713,0.022607163828537873,758,6812,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.08896324411594769,0.07044010531174745,0.13236459709379128,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119,majority_holdout_years,0.10013210039630119,0.10013210039630119,0.10013210039630119,0.10013210039630119
0.1,2012,2012-2014,2015-2015,南京,248,1,1,0.20161290322580644,0.6,0.4,40,0.7894736842105263,0.3157894736842105,19,0.31578947368421056,0.12631578947368421,0.10080645161290322,0.10080645161290322,0.44,0.06278026905829596,50,446,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.0636672325976231,0.025466893039049233,0.20161290322580644,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,all_holdout_years,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322
0.1,2012,2012-2014,2015-2015,南京,248,1,1,0.20161290322580644,0.6,0.4,40,0.7894736842105263,0.3157894736842105,19,0.31578947368421056,0.12631578947368421,0.10080645161290322,0.10080645161290322,0.44,0.06278026905829596,50,446,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.0636672325976231,0.025466893039049233,0.20161290322580644,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322,majority_holdout_years,0.10080645161290322,0.10080645161290322,0.10080645161290322,0.10080645161290322
0.1,2012,2012-2014,2015-2015,天津,23,1,1,0.21739130434782608,0.6,0.4,5,1.0,0.3333333333333333,3,0.4,0.13333333333333333,0.13043478260869565,0.13043478260869565,0.5,0.075,6,40,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.02898550724637681,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,all_holdout_years,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565
0.1,2012,2012-2014,2015-2015,天津,23,1,1,0.21739130434782608,0.6,0.4,5,1.0,0.3333333333333333,3,0.4,0.13333333333333333,0.13043478260869565,0.13043478260869565,0.5,0.075,6,40,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.02898550724637681,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,majority_holdout_years,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565
