country,frame_type,frame_id,frame_name,window_start,window_end,cohort_type,lower_tail_q,persistent_min_count,min_transactions_per_unit_year,min_units_per_frame_year,n_units,n_exposed,n_repeat_exposed,n_persistent,escape_denominator,escape_numerator,X_exposure,lambda_immediate_escape,delta_repeat_deepening,P_observed,P_predicted_pathway,P_predicted_exposure_only,absolute_error_pathway,absolute_error_exposure_only,hardening_kernel
UK,lad,E07000065,,2018,2022,available,0.2,3,3,10,19,6,4,3,5,1,0.3157894736842105,0.2,0.75,0.15789473684210525,0.18947368421052632,0.3157894736842105,0.03157894736842107,0.15789473684210525,0.6000000000000001
UK,lad,E07000067,,2018,2022,available,0.2,3,3,10,10,3,3,2,3,1,0.3,0.3333333333333333,0.6666666666666666,0.2,0.13333333333333333,0.3,0.06666666666666668,0.09999999999999998,0.4444444444444445
UK,lad,E07000072,,2018,2022,available,0.2,3,3,10,16,4,3,3,3,0,0.25,0.0,1.0,0.1875,0.25,0.25,0.0625,0.0625,1.0
UK,lad,E07000077,,2018,2022,available,0.2,3,3,10,11,4,3,2,4,2,0.36363636363636365,0.5,0.6666666666666666,0.18181818181818182,0.12121212121212122,0.36363636363636365,0.06060606060606061,0.18181818181818182,0.3333333333333333
UK,lad,E07000079,,2018,2022,available,0.2,3,3,10,12,6,2,1,4,3,0.5,0.75,0.5,0.08333333333333333,0.0625,0.5,0.02083333333333333,0.4166666666666667,0.125
UK,lad,E07000080,,2018,2022,available,0.2,3,3,10,11,5,1,1,5,4,0.45454545454545453,0.8,1.0,0.09090909090909091,0.09090909090909088,0.45454545454545453,2.7755575615628914e-17,0.36363636363636365,0.19999999999999996
UK,lad,E07000083,,2018,2022,available,0.2,3,3,10,10,2,2,2,2,0,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0
UK,lad,E07000084,,2018,2022,available,0.2,3,3,10,13,2,2,2,2,0,0.15384615384615385,0.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,1.0
UK,lad,E07000085,,2018,2022,available,0.2,3,3,10,11,2,2,2,2,0,0.18181818181818182,0.0,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,1.0
UK,lad,E07000091,,2018,2022,available,0.2,3,3,10,10,2,2,2,0,0,0.2,,1.0,0.2,,0.2,,0.0,
UK,lad,E07000093,,2018,2022,available,0.2,3,3,10,10,3,2,2,3,1,0.3,0.3333333333333333,1.0,0.2,0.2,0.3,0.0,0.09999999999999998,0.6666666666666667
UK,lad,E07000094,,2018,2022,available,0.2,3,3,10,11,3,2,2,3,1,0.2727272727272727,0.3333333333333333,1.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909088,0.6666666666666667
UK,lad,E07000099,,2018,2022,available,0.2,3,3,10,11,5,3,2,5,3,0.45454545454545453,0.6,0.6666666666666666,0.18181818181818182,0.12121212121212122,0.45454545454545453,0.06060606060606061,0.2727272727272727,0.26666666666666666
UK,lad,E07000110,,2018,2022,available,0.2,3,3,10,11,5,2,2,3,2,0.45454545454545453,0.6666666666666666,1.0,0.18181818181818182,0.15151515151515152,0.45454545454545453,0.030303030303030304,0.2727272727272727,0.33333333333333337
UK,lad,E07000111,,2018,2022,available,0.2,3,3,10,11,3,2,2,3,1,0.2727272727272727,0.3333333333333333,1.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909088,0.6666666666666667
UK,lad,E07000115,,2018,2022,available,0.2,3,3,10,12,4,3,1,4,1,0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.25,0.25
UK,lad,E07000137,,2018,2022,available,0.2,3,3,10,12,3,3,3,3,1,0.25,0.3333333333333333,1.0,0.25,0.16666666666666669,0.25,0.08333333333333331,0.0,0.6666666666666667
UK,lad,E07000142,,2018,2022,available,0.2,3,3,10,10,2,2,2,0,0,0.2,,1.0,0.2,,0.2,,0.0,
UK,lad,E07000143,,2018,2022,available,0.2,3,3,10,14,4,2,2,4,3,0.2857142857142857,0.75,1.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.25
UK,lad,E07000146,,2018,2022,available,0.2,3,3,10,11,5,2,1,4,3,0.45454545454545453,0.75,0.5,0.09090909090909091,0.056818181818181816,0.45454545454545453,0.034090909090909095,0.36363636363636365,0.125
